apiproxy,datetime,max_response_time,tph,tpm,error_count,traffic,total_response_time,end_point_response_time,tps
(not set),2015-04-28 00:00:00+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(not set),2015-04-28 19:00:00+0000,6278.0,1.0,0.016666666666666666,1.0,1.0,6278.0,0.0,2.777777777777778E-4
(not set),2015-04-28 20:00:00+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homework5,2015-04-28 00:00:00+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homework5,2015-04-28 19:00:00+0000,145.0,1.0,0.016666666666666666,0.0,1.0,145.0,141.0,2.777777777777778E-4
homework5,2015-04-28 20:00:00+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hw4,2015-04-28 00:00:00+0000,160.0,10.0,0.16666666666666666,0.0,10.0,117.6,112.7,0.002777777777777778
hw4,2015-04-28 19:00:00+0000,159.0,1.0,0.016666666666666666,0.0,1.0,159.0,152.0,2.777777777777778E-4
hw4,2015-04-28 20:00:00+0000,181.0,43.0,0.7166666666666667,0.0,43.0,119.62790697674419,118.04651162790698,0.011944444444444445
